Time,Position,Force,Stim
1e-4,-6.005301,237.131,0
2e-4,-6.003365,235.841,0
3e-4,-6.00272,236.32500000000002,0
4e-4,-6.001107,235.5185,0
5e-4,-6.002397,236.00199999999998,0
6e-4,-6.00272,236.1635,0
7e-4,-6.002075,235.5185,0
8e-4,-6.00272,236.32500000000002,0
9e-4,-6.003042,235.357,0
0.001,-6.00272,236.00199999999998,0
0.0011,-6.002075,235.841,0
0.0012,-6.002397,235.5185,0
0.0013,-6.003042,235.6795,0
0.0014,-6.002397,235.6795,0
0.0015,-6.00272,236.486,0
0.0016,-6.003042,235.6795,0
0.0017,-6.002397,236.32500000000002,0
0.0018,-6.00272,236.00199999999998,0
0.0019,-6.002075,236.1635,0
0.002,-6.00272,235.841,0
0.0021,-6.003365,236.00199999999998,0
0.0022,-6.002075,236.486,0
0.0023,-6.002397,236.00199999999998,0
0.0024,-6.002397,236.1635,0
0.0025,-6.003687,236.00199999999998,0
0.0026,-6.002397,236.1635,0
0.0027,-6.00272,236.1635,0
0.0028,-6.002397,236.32500000000002,0
0.0029,-6.003042,236.486,0
0.003,-6.002397,235.841,0
0.0031,-6.001752,236.8085,0
0.0032,-6.003687,235.841,0
0.0033,-6.002397,236.32500000000002,0
0.0034,-6.002397,236.1635,0
0.0035,-6.002397,236.00199999999998,0
0.0036,-6.00272,236.1635,0
0.0037,-6.002075,236.1635,0
0.0038,-6.00272,236.486,0
0.0039,-6.003365,236.1635,0
0.004,-6.00272,236.32500000000002,0
0.0041,-6.003042,236.1635,0
0.0042,-6.002075,236.1635,0
0.0043,-6.003687,236.32500000000002,0
0.0044,-6.002397,236.00199999999998,0
0.0045,-6.002397,236.00199999999998,0
0.0046,-6.004333,235.841,0
0.0047,-6.003042,236.486,0
0.0048,-6.002397,236.32500000000002,0
0.0049,-6.002397,236.486,0
0.005,-6.003365,236.1635,0
0.0051,-6.00272,236.00199999999998,0
0.0052,-6.00272,236.1635,0
0.0053,-6.00401,236.32500000000002,0
0.0054,-6.003042,236.32500000000002,0
0.0055,-6.00272,236.486,0
0.0056,-6.002075,236.32500000000002,0
0.0057,-6.003042,236.1635,0
0.0058,-6.003042,236.6475,0
0.0059,-6.00272,236.32500000000002,0
0.006,-6.003687,236.1635,0
0.0061,-6.003042,236.32500000000002,0
0.0062,-6.00272,236.97,0
0.0063,-6.00272,236.486,0
0.0064,-6.003042,236.1635,0
0.0065,-6.00143,237.2925,0
0.0066,-6.002397,236.8085,0
0.0067,-6.004655,236.486,0
0.0068,-6.003365,236.486,0
0.0069,-6.002397,236.8085,0
0.007,-6.002075,236.8085,0
0.0071,-6.00272,236.1635,0
0.0072,-6.002397,236.6475,0
0.0073,-6.001752,236.6475,0
0.0074,-6.004655,236.6475,0
0.0075,-6.00272,236.32500000000002,0
0.0076,-6.00272,236.6475,0
0.0077,-6.002075,236.32500000000002,0
0.0078,-6.00272,236.1635,0
0.0079,-6.002397,236.32500000000002,0
0.008,-6.002075,236.6475,0
0.0081,-6.004655,236.6475,0
0.0082,-6.00401,235.841,0
0.0083,-6.002075,236.8085,0
0.0084,-6.00272,236.97,0
0.0085,-6.003687,235.841,0
0.0086,-6.00272,236.6475,0
0.0087,-6.00272,236.1635,0
0.0088,-6.004333,236.8085,0
0.0089,-6.003365,236.97,0
0.009,-6.00272,236.97,0
0.0091,-6.002075,237.2925,0
0.0092,-6.002397,236.6475,0
0.0093,-6.002397,236.6475,0
0.0094,-6.00272,236.8085,0
0.0095,-6.00401,236.97,0
0.0096,-6.003042,236.8085,0
0.0097,-6.002397,237.2925,0
0.0098,-6.002397,236.97,0
0.0099,-6.00272,236.486,0
0.01,-6.002075,237.2925,0
0.0101,-6.002075,237.131,0
0.0102,-6.004655,236.8085,0
0.0103,-6.002397,236.97,0
0.0104,-6.001752,237.7765,0
0.0105,-6.003042,236.97,0
0.0106,-6.00272,236.32500000000002,0
0.0107,-6.001752,237.2925,0
0.0108,-6.002075,237.2925,0
0.0109,-6.004333,236.97,0
0.011,-6.003042,236.97,0
0.0111,-6.00272,237.454,0
0.0112,-6.002075,237.131,0
0.0113,-6.00272,236.6475,0
0.0114,-6.002397,237.131,0
0.0115,-6.002397,237.131,0
0.0116,-6.004333,237.2925,0
0.0117,-6.003365,237.454,0
0.0118,-6.00272,237.454,0
0.0119,-6.00272,237.454,0
0.012,-6.002075,236.32500000000002,0
0.0121,-6.002397,236.8085,0
0.0122,-6.002397,237.454,0
0.0123,-6.003687,237.454,0
0.0124,-6.002397,237.2925,0
0.0125,-6.003042,237.2925,0
0.0126,-6.001752,237.61499999999998,0
0.0127,-6.002075,236.6475,0
0.0128,-6.002397,237.2925,0
0.0129,-6.002397,237.2925,0
0.013,-6.00401,237.454,0
0.0131,-6.00272,237.61499999999998,0
0.0132,-6.002397,237.61499999999998,0
0.0133,-6.002075,237.61499999999998,0
0.0134,-6.002397,236.8085,0
0.0135,-6.002397,237.454,0
